band_00_mae,band_00_rmse,band_01_mae,band_01_rmse,band_02_mae,band_02_rmse,band_03_mae,band_03_rmse,band_04_mae,band_04_rmse,band_05_mae,band_05_rmse,band_06_mae,band_06_rmse,band_07_mae,band_07_rmse,band_08_mae,band_08_rmse,band_09_mae,band_09_rmse,band_10_mae,band_10_rmse,band_11_mae,band_11_rmse,band_12_mae,band_12_rmse,band_13_mae,band_13_rmse,band_14_mae,band_14_rmse,band_15_mae,band_15_rmse,band_16_mae,band_16_rmse,band_17_mae,band_17_rmse,band_18_mae,band_18_rmse,band_19_mae,band_19_rmse,band_20_mae,band_20_rmse,band_21_mae,band_21_rmse,band_22_mae,band_22_rmse,band_23_mae,band_23_rmse,band_24_mae,band_24_rmse,band_25_mae,band_25_rmse,band_26_mae,band_26_rmse,band_27_mae,band_27_rmse,band_28_mae,band_28_rmse,band_29_mae,band_29_rmse,band_30_mae,band_30_rmse,max_abs_err,mean_abs_err,mse,name,rmse
0.2933492064476013,0.30112138390541077,0.20376482605934143,0.21117864549160004,0.11907360702753067,0.12898921966552734,0.10627678781747818,0.11768597364425659,0.08278165757656097,0.10509078204631805,0.06256334483623505,0.08093862235546112,0.06942665576934814,0.0900002270936966,0.07439084351062775,0.09723455458879471,0.07008019089698792,0.09322458505630493,0.07092337310314178,0.09876217693090439,0.06809112429618835,0.09391339123249054,0.07168325036764145,0.09588092565536499,0.07444038987159729,0.09861089289188385,0.07351265847682953,0.0972430631518364,0.07295593619346619,0.09776103496551514,0.08286915719509125,0.11468513309955597,0.07427903264760971,0.10118628293275833,0.07457129657268524,0.10195478796958923,0.07425561547279358,0.10211147367954254,0.07716123014688492,0.10558170825242996,0.0857124999165535,0.11820521205663681,0.0949045941233635,0.13568100333213806,0.1021241694688797,0.14706538617610931,0.10465510189533234,0.15508955717086792,0.10483038425445557,0.1586279273033142,0.10521221160888672,0.16112510859966278,0.10416308790445328,0.15892621874809265,0.11323778331279755,0.170515775680542,0.10446442663669586,0.15157540142536163,0.1187080666422844,0.1687593162059784,0.11716777831315994,0.15586069226264954,0.990861713886261,0.09845130890607834,0.018749693408608437,p001_neutral_front,0.13692951985824106
0.2882698178291321,0.2965700924396515,0.20430628955364227,0.21325799822807312,0.12066381424665451,0.1337953358888626,0.11106288433074951,0.1266806274652481,0.09770841896533966,0.12625859677791595,0.07408448308706284,0.09548855572938919,0.08305744081735611,0.10643057525157928,0.08956381678581238,0.11480932682752609,0.08507441729307175,0.1096973717212677,0.08900371193885803,0.11817128211259842,0.08416537195444107,0.11070975661277771,0.08539264649152756,0.10997457802295685,0.08743633329868317,0.11191408336162567,0.08618579059839249,0.11026059836149216,0.0860334038734436,0.11103296279907227,0.10288190841674805,0.13626787066459656,0.08854079246520996,0.11486035585403442,0.08877942711114883,0.11511459946632385,0.0883946642279625,0.11500414460897446,0.09268049895763397,0.11960035562515259,0.10104627162218094,0.1308504045009613,0.10968299210071564,0.1450590342283249,0.11812139302492142,0.15639157593250275,0.11944884806871414,0.16223259270191193,0.11930215358734131,0.16491426527500153,0.11656378209590912,0.1620069146156311,0.11561697721481323,0.16034585237503052,0.12360583245754242,0.1726844757795334,0.10890142619609833,0.14674873650074005,0.12251367419958115,0.16684512794017792,0.11691751331090927,0.1516057550907135,0.9914278388023376,0.10984707623720169,0.02088822051882744,p001_neutral_left,0.14452757701846192
0.293620765209198,0.30111053586006165,0.2016332447528839,0.20789797604084015,0.11831951886415482,0.12607461214065552,0.1042577251791954,0.11239538341760635,0.07429846376180649,0.0901094451546669,0.05643986910581589,0.07156514376401901,0.062013570219278336,0.07944449782371521,0.06609218567609787,0.08577572554349899,0.0615573450922966,0.08243715018033981,0.0599643811583519,0.08503620326519012,0.058687761425971985,0.08278444409370422,0.06411922723054886,0.08719601482152939,0.06731321662664413,0.09051109850406647,0.06634259968996048,0.08887182921171188,0.06530967354774475,0.08858402818441391,0.06934869289398193,0.09671682864427567,0.06623011827468872,0.09162838757038116,0.06674155592918396,0.09271526336669922,0.06619412451982498,0.09262514859437943,0.06849198043346405,0.0956677570939064,0.07791121304035187,0.11059138178825378,0.08740021288394928,0.1297680288553238,0.09378454089164734,0.14103350043296814,0.09789393097162247,0.15153464674949646,0.0990925133228302,0.15690122544765472,0.10058155655860901,0.16149204969406128,0.10014867782592773,0.16108548641204834,0.10798824578523636,0.17106027901172638,0.10319957137107849,0.15774045884609222,0.1157911941409111,0.17161960899829865,0.11752890050411224,0.16172140836715698,0.9947217702865601,0.09221461415290833,0.017573053017258644,p001_neutral_right,0.13256339244775928
0.2910132110118866,0.2987893521785736,0.2026900351047516,0.21038851141929626,0.11883683502674103,0.12923045456409454,0.10673555731773376,0.1187683716416359,0.08489999175071716,0.10845529288053513,0.06426800787448883,0.0833955705165863,0.07130735367536545,0.09264891594648361,0.07654470205307007,0.10017180442810059,0.07210024446249008,0.09600429236888885,0.07307524979114532,0.10171659290790558,0.06988948583602905,0.09641624242067337,0.07325930893421173,0.09791766107082367,0.07588567584753036,0.10038318485021591,0.07476342469453812,0.09889478981494904,0.07398105412721634,0.09928660094738007,0.08411696553230286,0.11654326319694519,0.07529210299253464,0.10276205092668533,0.07566806674003601,0.1036616787314415,0.07503056526184082,0.10335653275251389,0.0779762789607048,0.10668312758207321,0.08715027570724487,0.1200336217880249,0.09660980850458145,0.13767240941524506,0.10388083010911942,0.14858266711235046,0.10663299262523651,0.15713633596897125,0.10713235288858414,0.16115298867225647,0.10721846669912338,0.16309086978435516,0.10617409646511078,0.16088883578777313,0.11545839160680771,0.17411644756793976,0.1048492044210434,0.15247249603271484,0.11989104002714157,0.17194680869579315,0.11721924692392349,0.1575726568698883,0.993746280670166,0.09967232495546341,0.019156118854880333,p001_smile_front,0.1384056315865808
0.2877182066440582,0.2959649860858917,0.20279881358146667,0.21182629466056824,0.1194755882024765,0.1324826031923294,0.10940876603126526,0.12480282783508301,0.09464578330516815,0.12287203967571259,0.07215588539838791,0.09347957372665405,0.08082236349582672,0.10433424264192581,0.08718997240066528,0.11271142959594727,0.08306857198476791,0.10809236019849777,0.08679956942796707,0.11635538935661316,0.08260093629360199,0.10967715084552765,0.08425231277942657,0.10967551916837692,0.08671656996011734,0.11211321502923965,0.08575307577848434,0.11079645156860352,0.08566660434007645,0.11161423474550247,0.10078233480453491,0.1346188187599182,0.08812537789344788,0.11566337943077087,0.08833397179841995,0.11608432978391647,0.08803986012935638,0.11600574851036072,0.09189363569021225,0.12017636001110077,0.10027828812599182,0.13218790292739868,0.10910408943891525,0.14778852462768555,0.11715775728225708,0.1587199717760086,0.11903183162212372,0.16585154831409454,0.11927973479032516,0.16927310824394226,0.11701186746358871,0.1678842306137085,0.1161237359046936,0.1659105122089386,0.12400174885988235,0.1785508096218109,0.11035846918821335,0.1535443663597107,0.12351558357477188,0.17344462871551514,0.11895124614238739,0.15873964130878448,0.9915441274642944,0.10907462239265442,0.021291609853506088,p001_smile_left,0.1459164481938417
0.2911008298397064,0.29858750104904175,0.19936349987983704,0.20559804141521454,0.11698286235332489,0.12472327053546906,0.10329258441925049,0.11137422174215317,0.07336310297250748,0.08902069926261902,0.055575769394636154,0.0708610862493515,0.06100761145353317,0.078534334897995,0.06491165608167648,0.08466024696826935,0.060395821928977966,0.08145738393068314,0.058654461055994034,0.08389420062303543,0.05743017792701721,0.08177285641431808,0.06276474893093109,0.08612824231386185,0.06601965427398682,0.08952264487743378,0.06519347429275513,0.08815741539001465,0.064242884516716,0.08791252970695496,0.06827674061059952,0.09590819478034973,0.06518977135419846,0.0909806415438652,0.06568227708339691,0.09203220158815384,0.06510841101408005,0.09185595065355301,0.06740415841341019,0.09487373381853104,0.07667592912912369,0.10953632742166519,0.08589939028024673,0.12808895111083984,0.09226126968860626,0.1391349583864212,0.09622077643871307,0.14913587272167206,0.09739704430103302,0.15416641533374786,0.0987185463309288,0.15841400623321533,0.0982474535703659,0.1579611897468567,0.10569005459547043,0.16754315793514252,0.10077580064535141,0.15437491238117218,0.11306368559598923,0.16789811849594116,0.11479911208152771,0.1582648903131485,0.9961942434310913,0.09071170538663864,0.017094219103455544,p001_smile_right,0.13074486262739177
0.2865835130214691,0.2949172258377075,0.19563037157058716,0.20431387424468994,0.1141885444521904,0.12535804510116577,0.10114302486181259,0.11359155178070068,0.07599307596683502,0.09939517825841904,0.05853654444217682,0.078067347407341,0.0642276182770729,0.08629395067691803,0.06835613399744034,0.0929812639951706,0.06470382958650589,0.08972528576850891,0.06394641846418381,0.094228595495224,0.06169348210096359,0.09010414034128189,0.0656839907169342,0.09210143238306046,0.06866244226694107,0.09507108479738235,0.06828393787145615,0.09421989321708679,0.06712126731872559,0.09421341121196747,0.07328316569328308,0.1082749292254448,0.06787646561861038,0.09726233780384064,0.0680873841047287,0.0976773276925087,0.06766608357429504,0.09774523973464966,0.07059702277183533,0.10080873221158981,0.07887600362300873,0.11144372075796127,0.08724318444728851,0.12528465688228607,0.09654641896486282,0.13578276336193085,0.1014723852276802,0.14409631490707397,0.10390939563512802,0.1487661600112915,0.10337568074464798,0.14931319653987885,0.10537414252758026,0.15032432973384857,0.11302404850721359,0.16089558601379395,0.1064721867442131,0.14654512703418732,0.11964758485555649,0.1623011976480484,0.11951317638158798,0.15461933612823486,0.9910781979560852,0.09380146116018295,0.017175979912281036,p002_neutral_front,0.13105716276602755
0.28846678137779236,0.2959645092487335,0.19554580748081207,0.2022394984960556,0.1143486425280571,0.12242582440376282,0.10012531280517578,0.10833755880594254,0.06856240332126617,0.0841888040304184,0.0523892305791378,0.06796939671039581,0.05717563256621361,0.07502742856740952,0.060753658413887024,0.08081509172916412,0.056486986577510834,0.07772243022918701,0.05377323180437088,0.07959230244159698,0.052707843482494354,0.07782772183418274,0.058370210230350494,0.08246786147356033,0.061716899275779724,0.08613298088312149,0.06088327243924141,0.08477950096130371,0.05917656049132347,0.08386039733886719,0.061618659645318985,0.09011072665452957,0.05966859310865402,0.0865853875875473,0.06009965017437935,0.08760512620210648,0.05988873541355133,0.08742523193359375,0.06235054135322571,0.09023664146661758,0.07136187702417374,0.10425981134176254,0.08141840994358063,0.12217627465724945,0.09142531454563141,0.1334514617919922,0.0986417680978775,0.14555276930332184,0.10231318324804306,0.1524621546268463,0.1035708636045456,0.1562660187482834,0.1057782843708992,0.1580488383769989,0.1141616702079773,0.1698453724384308,0.10884397476911545,0.15686801075935364,0.12365390360355377,0.17388959228992462,0.12421556562185287,0.16546447575092316,0.9952588081359863,0.08934249728918076,0.016576655209064484,p002_neutral_left,0.12875036003469847
0.2842507064342499,0.29318922758102417,0.19650568068027496,0.20662060379981995,0.11562000215053558,0.12883608043193817,0.10402297973632812,0.11916813254356384,0.08366814255714417,0.11094413697719574,0.0653882846236229,0.08710364252328873,0.07219599187374115,0.09647414833307266,0.07744002342224121,0.10417056828737259,0.07425901293754578,0.10103650391101837,0.07551030069589615,0.10695510357618332,0.07269172370433807,0.10183756053447723,0.07571791112422943,0.10320985317230225,0.07870162278413773,0.10615982115268707,0.07862970978021622,0.10567493736743927,0.07794885337352753,0.10584492981433868,0.0869288519024849,0.12247705459594727,0.07958392798900604,0.10919135808944702,0.07974480837583542,0.10951930284500122,0.07910868525505066,0.10902667045593262,0.08267764002084732,0.11278975009918213,0.09090836346149445,0.12365564703941345,0.09859384596347809,0.13618476688861847,0.10721941292285919,0.14619173109531403,0.110564686357975,0.15312696993350983,0.11206185072660446,0.15705054998397827,0.10974134504795074,0.1549718976020813,0.11101441830396652,0.15565454959869385,0.11746034771203995,0.165227472782135,0.1087779551744461,0.14789384603500366,0.11973389238119125,0.16274720430374146,0.11770087480545044,0.15348213911056519,0.9911929368972778,0.1014396920800209,0.019047589972615242,p002_neutral_right,0.13801300653422213
0.285661518573761,0.2936539053916931,0.19405436515808105,0.20200908184051514,0.11331791430711746,0.12324105948209763,0.10015895217657089,0.11108368635177612,0.07340824604034424,0.09430715441703796,0.05640200152993202,0.07439951598644257,0.061789777129888535,0.08221492171287537,0.06573154032230377,0.0885913074016571,0.061772290617227554,0.08528389036655426,0.060453109443187714,0.08920512348413467,0.05847465619444847,0.08557926118373871,0.0629739761352539,0.08815231174230576,0.06592506170272827,0.09113645553588867,0.06523740291595459,0.09002474695444107,0.06376457959413528,0.08974307775497437,0.06904588639736176,0.1021343246102333,0.06445945799350739,0.09268491715192795,0.06484143435955048,0.0933523178100586,0.06429757177829742,0.09325733035802841,0.06715761870145798,0.09616988897323608,0.07608146220445633,0.10777926445007324,0.08524066209793091,0.12321389466524124,0.09476786106824875,0.13396309316158295,0.10021409392356873,0.1433630883693695,0.10281596332788467,0.14867153763771057,0.10291232913732529,0.15078191459178925,0.10464832931756973,0.15168333053588867,0.11261933296918869,0.16319431364536285,0.10571758449077606,0.14852091670036316,0.11941468715667725,0.16507241129875183,0.11855759471654892,0.15581919252872467,0.9931185841560364,0.09167855232954025,0.016702577471733093,p002_smile_front,0.12923845198598247
