band_00_mae,band_00_rmse,band_01_mae,band_01_rmse,band_02_mae,band_02_rmse,band_03_mae,band_03_rmse,band_04_mae,band_04_rmse,band_05_mae,band_05_rmse,band_06_mae,band_06_rmse,band_07_mae,band_07_rmse,band_08_mae,band_08_rmse,band_09_mae,band_09_rmse,band_10_mae,band_10_rmse,band_11_mae,band_11_rmse,band_12_mae,band_12_rmse,band_13_mae,band_13_rmse,band_14_mae,band_14_rmse,band_15_mae,band_15_rmse,band_16_mae,band_16_rmse,band_17_mae,band_17_rmse,band_18_mae,band_18_rmse,band_19_mae,band_19_rmse,band_20_mae,band_20_rmse,band_21_mae,band_21_rmse,band_22_mae,band_22_rmse,band_23_mae,band_23_rmse,band_24_mae,band_24_rmse,band_25_mae,band_25_rmse,band_26_mae,band_26_rmse,band_27_mae,band_27_rmse,band_28_mae,band_28_rmse,band_29_mae,band_29_rmse,band_30_mae,band_30_rmse,max_abs_err,mean_abs_err,mse,name,psnr_1,psnr_255,rmse
0.2933475375175476,0.301119863986969,0.2037631720304489,0.2111767679452896,0.11907122284173965,0.12898725271224976,0.10627403110265732,0.11768343299627304,0.08277881890535355,0.10508818179368973,0.06256116181612015,0.08093661814928055,0.06942462921142578,0.08999834209680557,0.07438906282186508,0.09723275154829025,0.07007859647274017,0.09322305023670197,0.0709221288561821,0.09876113384962082,0.06809008121490479,0.0939122810959816,0.0716821551322937,0.09587971121072769,0.07443972676992416,0.09860966354608536,0.07351171970367432,0.09724214673042297,0.07295497506856918,0.09776005148887634,0.08286837488412857,0.1146843284368515,0.07427876442670822,0.1011858731508255,0.07457136362791061,0.10195465385913849,0.07425590604543686,0.10211164504289627,0.07716158032417297,0.10558181256055832,0.0857124999165535,0.11820509284734726,0.0949045941233635,0.1356804370880127,0.10212352126836777,0.1470644623041153,0.10465426743030548,0.15508809685707092,0.1048295646905899,0.15862634778022766,0.10521139949560165,0.16112366318702698,0.10416270792484283,0.1589248776435852,0.113237664103508,0.17051495611667633,0.10446442663669586,0.15157470107078552,0.11870770901441574,0.16875924170017242,0.11716650426387787,0.15586067736148834,0.9908572435379028,0.09845033288002014,0.018749412149190903,p001_neutral_front,17.27012344169049,65.40092705036959,0.1369284928318095
0.2882657051086426,0.29656654596328735,0.20430178940296173,0.21325431764125824,0.12065957486629486,0.13379161059856415,0.1110583245754242,0.1266767978668213,0.09770485758781433,0.12625528872013092,0.0740819051861763,0.09548594057559967,0.08305488526821136,0.10642793774604797,0.08956141024827957,0.11480668932199478,0.08507232367992401,0.10969502478837967,0.08900182694196701,0.11816921085119247,0.0841635912656784,0.11070781946182251,0.08539072424173355,0.1099727526307106,0.08743508160114288,0.11191225051879883,0.08618440479040146,0.11025892943143845,0.08603207021951675,0.11103133857250214,0.10288050770759583,0.1362663060426712,0.08854012936353683,0.114859439432621,0.08877862989902496,0.11511383205652237,0.0883944109082222,0.11500368267297745,0.09268034249544144,0.11960019171237946,0.10104609280824661,0.1308499127626419,0.1096823513507843,0.14505797624588013,0.11812017858028412,0.15638984739780426,0.11944738030433655,0.16223029792308807,0.11930013447999954,0.16491159796714783,0.11656197905540466,0.16200406849384308,0.11561569571495056,0.16034312546253204,0.12360505759716034,0.17268194258213043,0.10890118777751923,0.14674721658229828,0.1225133091211319,0.16684409976005554,0.11691705137491226,0.15160579979419708,0.991422176361084,0.10984551161527634,0.02088765799999237,p001_neutral_left,16.801102519631698,64.9319061283108,0.14452563094479945
0.29361963272094727,0.301109254360199,0.2016315907239914,0.20789657533168793,0.11831726133823395,0.12607254087924957,0.10425493121147156,0.1123928502202034,0.07429537177085876,0.09010668843984604,0.05643686279654503,0.07156258076429367,0.062011171132326126,0.07944228500127792,0.06609005481004715,0.08577387034893036,0.0615558996796608,0.08243578672409058,0.05996322259306908,0.08503517508506775,0.058686837553977966,0.08278337866067886,0.06411818414926529,0.08719490468502045,0.06731216609477997,0.09050989151000977,0.0663415938615799,0.08887065201997757,0.0653088390827179,0.08858291804790497,0.0693478211760521,0.09671583026647568,0.06622970104217529,0.09162783622741699,0.06674155592918396,0.09271515160799026,0.06619461625814438,0.09262511134147644,0.0684923380613327,0.09566782414913177,0.07791128009557724,0.11059091985225677,0.08740013092756271,0.12976737320423126,0.09378376603126526,0.14103244245052338,0.09789301455020905,0.15153346955776215,0.09909158200025558,0.15689997375011444,0.10058122873306274,0.16149090230464935,0.10014847666025162,0.1610845923423767,0.10798799246549606,0.171059712767601,0.10319925099611282,0.15774033963680267,0.11579021066427231,0.17161990702152252,0.11752627789974213,0.16172130405902863,0.9947209358215332,0.09221356362104416,0.017572801560163498,p001_neutral_right,17.551589951849756,65.68239356052887,0.1325624440034337
0.2910112142562866,0.29878729581832886,0.20268745720386505,0.21038579940795898,0.11883389949798584,0.12922786176204681,0.10673251003026962,0.11876528710126877,0.08489677309989929,0.1084524467587471,0.06426545232534409,0.0833931565284729,0.07130492478609085,0.09264691174030304,0.07654242217540741,0.10016980767250061,0.07209835201501846,0.09600261598825455,0.07307399809360504,0.10171504318714142,0.06988803297281265,0.09641502052545547,0.07325770705938339,0.09791623800992966,0.07588443160057068,0.10038194060325623,0.074762262403965,0.09889352321624756,0.07398014515638351,0.09928540885448456,0.08411601930856705,0.11654208600521088,0.07529153674840927,0.10276149213314056,0.0756678506731987,0.1036614328622818,0.07503066956996918,0.10335639864206314,0.07797632366418839,0.1066831648349762,0.08715011924505234,0.12003318220376968,0.0966092199087143,0.1376715749502182,0.10387976467609406,0.1485813409090042,0.10663174837827682,0.15713496506214142,0.10713095963001251,0.16115136444568634,0.10721757262945175,0.16308918595314026,0.10617370158433914,0.16088716685771942,0.11545807123184204,0.17411522567272186,0.1048489362001419,0.1524718850851059,0.119889996945858,0.17194634675979614,0.1172177717089653,0.1575726419687271,0.9937477111816406,0.09967103600502014,0.019155746325850487,p001_smile_front,17.177009228307664,65.30781283698677,0.138404285792928
0.28771424293518066,0.2959614098072052,0.20279455184936523,0.21182209253311157,0.11947093904018402,0.1324787139892578,0.10940419137477875,0.12479867786169052,0.09464196860790253,0.12286888808012009,0.07215312123298645,0.09347707778215408,0.08082009851932526,0.10433179885149002,0.0871877446770668,0.11270894855260849,0.08306651562452316,0.10809006541967392,0.08679799735546112,0.11635352671146393,0.08259931206703186,0.10967543721199036,0.08425087481737137,0.109673872590065,0.08671515434980392,0.11211159825325012,0.08575180172920227,0.11079517006874084,0.08566541224718094,0.11161278933286667,0.10078104585409164,0.13461753726005554,0.08812475204467773,0.11566255986690521,0.08833377063274384,0.11608362942934036,0.08803974092006683,0.11600538343191147,0.09189367294311523,0.12017622590065002,0.10027816146612167,0.13218745589256287,0.10910370945930481,0.14778733253479004,0.11715670675039291,0.15871845185756683,0.11903037130832672,0.16584962606430054,0.11927824467420578,0.16927079856395721,0.11701057851314545,0.1678817868232727,0.11612240225076675,0.16590848565101624,0.12400097399950027,0.17854879796504974,0.11035774648189545,0.15354347229003906,0.12351546436548233,0.17344394326210022,0.11895014345645905,0.15873965620994568,0.9915412664413452,0.10907315462827682,0.02129106968641281,p001_smile_left,16.718025185881555,64.84882879456066,0.14591459723555011
0.29109978675842285,0.2985861301422119,0.19936226308345795,0.20559683442115784,0.1169808954000473,0.12472150474786758,0.1032896414399147,0.11137174814939499,0.07336024194955826,0.08901814371347427,0.055573105812072754,0.07085886597633362,0.061005327850580215,0.07853236049413681,0.06490970402956009,0.08465851098299026,0.06039443984627724,0.08145613223314285,0.05865347757935524,0.0838932991027832,0.05742932856082916,0.08177195489406586,0.06276380270719528,0.0861271321773529,0.06601866334676743,0.08952173590660095,0.06519263237714767,0.08815649896860123,0.06424207985401154,0.08791163563728333,0.06827569007873535,0.09590752422809601,0.06518956273794174,0.09098014235496521,0.06568261235952377,0.09203201532363892,0.0651087760925293,0.09185600280761719,0.06740447133779526,0.09487377852201462,0.07667607814073563,0.10953590273857117,0.08589925616979599,0.1280883252620697,0.09226077795028687,0.13913393020629883,0.09621979296207428,0.14913460612297058,0.09739641845226288,0.1541653871536255,0.09871833771467209,0.1584128886461258,0.09824724495410919,0.15796025097370148,0.1056898906826973,0.16754284501075745,0.10077524185180664,0.15437494218349457,0.11306288838386536,0.16789859533309937,0.11479692906141281,0.15826544165611267,0.9961912631988525,0.09071065485477448,0.017094004899263382,p001_smile_right,17.671561759049744,65.80236536772885,0.130744043456149
0.28658050298690796,0.29491502046585083,0.1956275850534439,0.20431147515773773,0.11418542265892029,0.12535525858402252,0.1011393740773201,0.113588348031044,0.07598993182182312,0.09939238429069519,0.0585339181125164,0.07806522399187088,0.06422523409128189,0.08629187941551208,0.06835399568080902,0.09297942370176315,0.06470218300819397,0.08972394466400146,0.06394508481025696,0.09422755986452103,0.06169239431619644,0.09010318666696548,0.06568287312984467,0.09210018813610077,0.06866151839494705,0.09507006406784058,0.06828297674655914,0.0942189022898674,0.06712039560079575,0.09421256184577942,0.0732826441526413,0.10827424377202988,0.06787628680467606,0.09726209193468094,0.06808748841285706,0.09767713397741318,0.06766647100448608,0.09774523973464966,0.070597343146801,0.10080862790346146,0.07887610793113708,0.11144347488880157,0.08724287897348404,0.12528368830680847,0.09654547274112701,0.13578175008296967,0.10147139430046082,0.14409440755844116,0.10390797257423401,0.14876437187194824,0.10337457805871964,0.14931149780750275,0.1053733304142952,0.1503225564956665,0.11302362382411957,0.16089455783367157,0.10647230595350266,0.14654459059238434,0.1196475699543953,0.1623007357120514,0.11951293051242828,0.1546192616224289,0.99107825756073,0.09380028396844864,0.01717562787234783,p002_neutral_front,17.65087377906731,65.78167738774641,0.13105581968133972
0.2884650230407715,0.29596295952796936,0.19554392993450165,0.20223772525787354,0.11434629559516907,0.1224236860871315,0.10012249648571014,0.10833494365215302,0.06855908036231995,0.08418583869934082,0.052386391907930374,0.06796707212924957,0.05717306584119797,0.07502534240484238,0.06075144186615944,0.08081336319446564,0.056485388427972794,0.07772108912467957,0.05377192795276642,0.0795913115143776,0.05270686000585556,0.07782670855522156,0.058368947356939316,0.08246660232543945,0.06171560287475586,0.08613169193267822,0.06088215485215187,0.08477836102247238,0.05917549878358841,0.08385933190584183,0.061617761850357056,0.09010970592498779,0.059668079018592834,0.08658463507890701,0.06009973958134651,0.08760488033294678,0.05988894775509834,0.0874251201748848,0.06235101446509361,0.09023645520210266,0.07136181741952896,0.10425923019647598,0.08141788095235825,0.12217531353235245,0.09142468124628067,0.13345041871070862,0.09864093363285065,0.14555111527442932,0.10231233388185501,0.15246056020259857,0.10357017815113068,0.15626458823680878,0.10577767342329025,0.1580476611852646,0.11416163295507431,0.1698446422815323,0.108844093978405,0.15686801075935364,0.12365379929542542,0.17389024794101715,0.12421521544456482,0.16546571254730225,0.9952674508094788,0.0893414169549942,0.016576381400227547,p002_neutral_left,17.805102692883462,65.93590630156257,0.1287492966979919
0.28424790501594543,0.29318657517433167,0.19650280475616455,0.20661787688732147,0.11561689525842667,0.12883307039737701,0.10401930660009384,0.11916492879390717,0.0836651623249054,0.11094148457050323,0.06538572907447815,0.08710144460201263,0.07219399511814117,0.09647204726934433,0.07743807137012482,0.10416850447654724,0.07425760477781296,0.10103518515825272,0.07550925016403198,0.10695385932922363,0.07269079983234406,0.10183648765087128,0.07571697980165482,0.10320864617824554,0.07870053499937057,0.10615874826908112,0.07862889766693115,0.10567393153905869,0.0779479444026947,0.10584408044815063,0.08692840486764908,0.12247611582279205,0.07958386093378067,0.10919100046157837,0.07974496483802795,0.10951922833919525,0.07910887151956558,0.10902681201696396,0.08267788589000702,0.11278986185789108,0.09090851247310638,0.12365551292896271,0.09859386831521988,0.13618429005146027,0.10721874237060547,0.1461905837059021,0.1105637401342392,0.15312543511390686,0.11206064373254776,0.15704889595508575,0.10974007844924927,0.154970183968544,0.11101352423429489,0.15565277636051178,0.1174597516655922,0.16522619128227234,0.10877770930528641,0.14789320528507233,0.11973382532596588,0.16274718940258026,0.11770091205835342,0.1534828394651413,0.9911888241767883,0.10143861174583435,0.01904725469648838,p002_neutral_right,17.201676108589016,65.33247971726811,0.13801179187478285
0.2856594920158386,0.29365214705467224,0.19405217468738556,0.20200705528259277,0.11331543326377869,0.1232387125492096,0.10015573352575302,0.11108067631721497,0.0734051764011383,0.09430449455976486,0.05639934167265892,0.07439745217561722,0.06178741902112961,0.08221293985843658,0.06572945415973663,0.08858959376811981,0.06177081912755966,0.0852825939655304,0.06045185402035713,0.08920429646968842,0.05847364291548729,0.08557835966348648,0.06297280639410019,0.08815107494592667,0.06592381000518799,0.09113523364067078,0.0652364194393158,0.09002368152141571,0.06376347690820694,0.08974206447601318,0.06904508173465729,0.10213352739810944,0.06445921212434769,0.09268447756767273,0.06484159827232361,0.09335202723741531,0.06429773569107056,0.0932573527097702,0.06715771555900574,0.0961698666214943,0.0760813057422638,0.10777876526117325,0.0852402076125145,0.12321285903453827,0.09476704150438309,0.13396179676055908,0.10021273791790009,0.1433613896369934,0.10281471908092499,0.14866971969604492,0.10291135311126709,0.15078045427799225,0.1046476885676384,0.1516817957162857,0.1126190796494484,0.16319328546524048,0.10571768879890442,0.14852064847946167,0.11941462010145187,0.16507256031036377,0.11855711787939072,0.15581971406936646,0.9931201934814453,0.09167748689651489,0.016702329739928246,p002_smile_front,17.772229466592208,65.90303307527131,0.1292374935532574
